clase,elegible_libranza,productos_top,sub_producto,razones
0,True,Rotativo_cupo(6) > Educativo(4),Educativo->Apoyo educativo a hijos (colegio/pregrado);,[Rotativo_cupo] Interés real de la clase: 'Día a día / rotativo' (+3); Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1) | [Educativo] Interés real de la clase: 'Educación de los hijos' (+2); Ventana de calendario: regreso a clases/matrícula (enero/julio) (+2)
1,False,Rotativo_cupo(6),,[Rotativo_cupo] Interés real de la clase: 'Rotativo / flujo de caja' (+3); Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1)
2,True,Libre_inversion(3) > Rotativo_cupo(3) > Educativo(2),Educativo->Técnico/Pregrado (propio); Libre_inversion->Tecnología/otros fines;,[Libre_inversion] Interés real de la clase: 'Tecnología / entretenimiento' (+3) | [Rotativo_cupo] Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1) | [Educativo] Interés real de la clase: 'Ahorro para educación' (+2)
3,False,Compra_cartera(6),,[Compra_cartera] Interés real de la clase: 'Consolidación de deudas' (+3); Propensión real a consolidación + tasa BanRep 12% (muy sobre la meta) (+2); Ventana de prima (30-jun/20-dic): efectivo extra para consolidar (+1)
4,True,Compra_cartera(4) > Hipotecario(3) > Libre_inversion(2),Libre_inversion->Salud;,[Compra_cartera] Interés real de la clase: 'Consolidación de deudas' (+1); Propensión real a consolidación + tasa BanRep 12% (muy sobre la meta) (+2); Ventana de prima (30-jun/20-dic): efectivo extra para consolidar (+1) | [Hipotecario] Interés real de la clase: 'Vivienda / libre inversión aspiracional' (+3) | [Libre_inversion] Interés real de la clase: 'Salud' (+2)
5,False,(sin señal suficiente),,
6,True,Rotativo_cupo(6) > Educativo(4),Educativo->Apoyo educativo a hijos (colegio/pregrado);,[Rotativo_cupo] Interés real de la clase: 'Día a día / rotativo' (+3); Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1) | [Educativo] Interés real de la clase: 'Educación (si hay hijos)' (+2); Ventana de calendario: regreso a clases/matrícula (enero/julio) (+2)
7,True,Libre_inversion(6) > Rotativo_cupo(3) > Hipotecario(2),Libre_inversion->Viajes;,[Libre_inversion] Interés real de la clase: 'Viajes' (+3); Interés real de la clase: 'Tecnología' (+1); Ventana de calendario: vacaciones escolares (dic-ene/jun-jul) (+2) | [Rotativo_cupo] Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1) | [Hipotecario] Interés real de la clase: 'Vivienda aspiracional' (+2)
8,True,Libre_inversion(7) > Rotativo_cupo(3),Libre_inversion->Tecnología/otros fines;,[Libre_inversion] Interés real de la clase: 'Tecnología / entretenimiento' (+3); Interés real de la clase: 'Viajes' (+2); Ventana de calendario: vacaciones escolares (dic-ene/jun-jul) (+2) | [Rotativo_cupo] Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1)
9,True,Educativo(5) > Compra_cartera(4) > Hipotecario(2),Educativo->Apoyo educativo a hijos (colegio/pregrado);,[Educativo] Interés real de la clase: 'Educación de los hijos' (+3); Ventana de calendario: regreso a clases/matrícula (enero/julio) (+2) | [Compra_cartera] Interés real de la clase: 'Consolidación de deudas' (+1); Propensión real a consolidación + tasa BanRep 12% (muy sobre la meta) (+2); Ventana de prima (30-jun/20-dic): efectivo extra para consolidar (+1) | [Hipotecario] Interés real de la clase: 'Vivienda' (+2)
10,True,Compra_cartera(5) > Libre_inversion(3) > Rotativo_cupo(2),Libre_inversion->Salud;,[Compra_cartera] Interés real de la clase: 'Tranquilidad financiera / consolidación' (+2); Propensión real a consolidación + tasa BanRep 12% (muy sobre la meta) (+2); Ventana de prima (30-jun/20-dic): efectivo extra para consolidar (+1) | [Libre_inversion] Interés real de la clase: 'Salud' (+3) | [Rotativo_cupo] Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2)
11,True,Educativo(5) > Rotativo_cupo(3),Educativo->Apoyo educativo a hijos (colegio/pregrado);,[Educativo] Interés real de la clase: 'Educación de los hijos' (+3); Ventana de calendario: regreso a clases/matrícula (enero/julio) (+2) | [Rotativo_cupo] Alta sensibilidad a inflación (dato DANE) -- necesidad de día a día (+2); Ventana de prima (30-jun/20-dic): recordatorio de cupo (+1)
