clase,rubro_contenido_dominante,tono_comunicacion,formato_estilo_dominante
0,Día a día / rotativo,"Práctico/urgente -- resolver el mes, no aspiracional","Instagram (visual/breve, tipo historia)"
1,Rotativo / flujo de caja,"Práctico/urgente -- lenguaje de control y previsibilidad, no de consumo",Messenger/WhatsApp (conversacional/directo)
2,Tecnología / entretenimiento,"Directo, orientado a apps/autogestión -- coherente con uso fintech real de millennials/Gen Z","Instagram (visual/breve, tipo historia)"
3,Consolidación de deudas,"Directo/datos -- tranquilidad financiera, cifras claras (tasa, cuota), no emocional",Messenger/WhatsApp (conversacional/directo)
4,Vivienda / libre inversión aspiracional,Aspiracional -- vivienda como símbolo de estabilidad/realización (hallazgo Raddar),Messenger/WhatsApp (conversacional/directo)
5,Genérico -- sin señal suficiente,Sin señal suficiente -- usar tono neutro/institucional,Messenger/WhatsApp (conversacional/directo)
6,Día a día / rotativo,"Práctico/urgente -- resolver el mes, no aspiracional",Messenger/WhatsApp (conversacional/directo)
7,Viajes,"Aspiracional/visual -- experiencias, no el producto financiero","Instagram (visual/breve, tipo historia)"
8,Tecnología / entretenimiento,"Directo, orientado a apps/autogestión -- coherente con uso fintech real de millennials/Gen Z","Instagram (visual/breve, tipo historia)"
9,Educación de los hijos,"Cálido/familiar -- enfocado en el logro y futuro de los hijos, no en el crédito en sí",Messenger/WhatsApp (conversacional/directo)
10,Salud,"Cercano/tranquilizador -- bienestar y protección, evitar tecnicismos",Messenger/WhatsApp (conversacional/directo)
11,Educación de los hijos,"Cálido/familiar -- enfocado en el logro y futuro de los hijos, no en el crédito en sí",Messenger/WhatsApp (conversacional/directo)
