clase,tasa_deshabilitar_push_estimada,reach_digital_index,canal_recomendado
0,31.3,12.92,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
1,31.0,20.29,"WhatsApp y Push como igual de fuertes (27% de millennials prefiere push a SMS en banca -- alto compromiso digital de este segmento), email de respaldo"
2,31.0,22.79,"WhatsApp y Push como igual de fuertes (27% de millennials prefiere push a SMS en banca -- alto compromiso digital de este segmento), email de respaldo"
3,35.5,11.32,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
4,36.5,5.11,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
5,32.1,16.9,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
6,32.2,10.24,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
7,31.0,21.83,"WhatsApp y Push como igual de fuertes (27% de millennials prefiere push a SMS en banca -- alto compromiso digital de este segmento), email de respaldo"
8,31.0,21.55,"WhatsApp y Push como igual de fuertes (27% de millennials prefiere push a SMS en banca -- alto compromiso digital de este segmento), email de respaldo"
9,34.6,9.25,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
10,55.8,6.19,WhatsApp primero + email de respaldo (push poco confiable: alta tasa de deshabilitar en este segmento)
11,31.0,14.6,"WhatsApp primero (open rate 85-98% vs push 20-40% vs email 20-25%), push como secundario de bajo costo, email de respaldo/registro"
